filename,K0,K1,K2,N0,N1,N2,P0,P1
sandy-loam-12_png.rf.3f4ab37ee4c51753d005a836778edb9a.jpg,0,1,0,1,0,0,0,1
sandy-loam-21_png.rf.0ff5c90ddc16ee6b305fa548e004178f.jpg,0,1,0,1,0,0,0,1
laterite-57_jpg.rf.e636ddd42225cfc1ef51fba95e638184.jpg,1,0,0,1,0,0,1,0
sandy-loam-27_jpg.rf.df5041d41a3f4e0ae1d581a9df4686b3.jpg,0,1,0,1,0,0,0,1
laterite-67_jpg.rf.4bc9fddcc884dbf20e1a04b1e8737b8b.jpg,1,0,0,1,0,0,1,0
laterite-55_jpg.rf.5c882528b1b14734b704302feeade54e.jpg,1,0,0,1,0,0,1,0
sandy-loam-89_png.rf.b0aef2f25d73c9decc804335618a71cc.jpg,0,1,0,1,0,0,0,1
laterite-22_png.rf.a1e3f5dc726fa6f48e8cd5439651de66.jpg,1,0,0,1,0,0,1,0
sandy-loam-31_jpg.rf.62d62e2cb62481371da03053bf0eb421.jpg,0,1,0,1,0,0,0,1
sandy-loam-65_jpg.rf.c9e413717cceed7069caaa5558b6ad6b.jpg,0,1,0,1,0,0,0,1
laterite-19_png.rf.6c3361ffa0f4e991254503568c9561f8.jpg,1,0,0,1,0,0,1,0
laterite-44_jpg.rf.55a9e1ad2c4a69245a41fed0e78c7e43.jpg,1,0,0,1,0,0,1,0
laterite-71_jpg.rf.ecc15b9d83ea91cc2d43124067afd08a.jpg,1,0,0,1,0,0,1,0
laterite-43_jpg.rf.5faf9844396eaf33480d3acab88c18e4.jpg,1,0,0,1,0,0,1,0
laterite-17_png.rf.74351b71f5dc73f87917c75e9f59e28d.jpg,1,0,0,1,0,0,1,0
laterite-25_png.rf.f61230047475a07b7c9950922df75f18.jpg,1,0,0,1,0,0,1,0
sandy-loam-19_png.rf.5638a9d6b354c9e4ee28419053757b74.jpg,0,1,0,1,0,0,0,1
sandy-loam-8_png.rf.6e4c7b7b86c0533614eed5f909f39040.jpg,0,1,0,1,0,0,0,1
laterite-81_jpg.rf.e1f79ff685455f6b331d25ce0ddf0a92.jpg,1,0,0,1,0,0,1,0
sandy-loam-92_png.rf.2e739fe85fd4783edc8b72916fd4a3ac.jpg,0,1,0,1,0,0,0,1
laterite-53_jpg.rf.461b9c8dfa3275628b1a73110a6a9492.jpg,1,0,0,1,0,0,1,0
laterite-52_jpg.rf.21e6d32a2233f78dbefd1031ac395caa.jpg,1,0,0,1,0,0,1,0
sandy-21_png.rf.8cb3807fe773bcc757359f090f99e389.jpg,1,0,0,1,0,0,1,0
laterite-100_jpg.rf.f07244d38e99b9a01d73067084f88d4c.jpg,1,0,0,1,0,0,1,0
laterite-51_jpg.rf.f89e83f68a3ba4a81067276bd974d8f5.jpg,1,0,0,1,0,0,1,0
laterite-78_jpg.rf.e191664143c956242a017a14c0c9d2ad.jpg,1,0,0,1,0,0,1,0
laterite-8_png.rf.40c48a6fed074306ec00e20c793493e6.jpg,1,0,0,1,0,0,1,0
laterite-79_jpg.rf.658638b6135f2818953527f8b534fa10.jpg,1,0,0,1,0,0,1,0
sandy-26_png.rf.2e523d42a903c1f3ccc56a0556ad7ebe.jpg,1,0,0,1,0,0,1,0
sandy-19_png.rf.efad81894f36712b46b95e357bfdf1f3.jpg,1,0,0,1,0,0,1,0
sandy-29_png.rf.c659887d5d6d236c079f9f24eb2a330a.jpg,1,0,0,1,0,0,1,0
alluvial-81_jpg.rf.46f459ee027267ce64054241683d5ec3.jpg,0,1,0,0,1,0,1,0
sandy-loam-97_png.rf.34800d8435fac8400b0fcf0ba5e3c266.jpg,0,1,0,1,0,0,0,1
alluvial-91_jpg.rf.74a437d675ec5db77ecd4acc49162ecc.jpg,0,1,0,0,1,0,1,0
clay-1_png.rf.1d1bd950567228acb13a97db52fe1d75.jpg,0,0,1,0,0,1,0,1
sandy-loam-1_png.rf.40b75612667e6ed765b54947a1658f03.jpg,0,1,0,1,0,0,0,1
sandy-loam-42_jpg.rf.15a0570c6095817d833143372a81ad6d.jpg,0,1,0,1,0,0,0,1
sandy-3_png.rf.73be71d5a6d89da7a007b97e2955b68b.jpg,1,0,0,1,0,0,1,0
clay-16_png.rf.ddb15957aed7207fcca91397df38dce7.jpg,0,0,1,0,0,1,0,1
alluvial-88_jpg.rf.ec97911ca98b54a6b9d2a7fffad78075.jpg,0,1,0,0,1,0,1,0
laterite-9_png.rf.2956ab824cb109e587cd682ac0bd6c72.jpg,1,0,0,1,0,0,1,0
laterite-86_jpg.rf.4cec28f72778a96196c63beace963034.jpg,1,0,0,1,0,0,1,0
sandy-36_jpg.rf.72b7b680a753309edf54df2ff09566c4.jpg,1,0,0,1,0,0,1,0
alluvial-75_jpg.rf.6d877ecb7813bea878246b31d8294968.jpg,0,1,0,0,1,0,1,0
clay-18_png.rf.739c69531494ca731ced44449a516788.jpg,0,0,1,0,0,1,0,1
